MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
100339,,"Gebouw Voor Kunst En Wetenschappen / Arts and Science Building",,,,"The ANWB",52.08968,5.11757,,"Utrecht",,"Utrecht","Utrecht","It is at the intersection of Springweg and Mariaplaats on Springweg. ",,https://www.hmdb.org/m.asp?m=100339,12/9/2016,1/1/2024
100351,,"Mieropskameren / Mierop's Homes",,,,,52.08693,5.12001,"Springweg 114","Utrecht",,"Utrecht","Utrecht","It is on Springweg just south of Silverstraat. ",,https://www.hmdb.org/m.asp?m=100351,12/9/2016,1/1/2024
100352,,"Geboortehuis van Paus Adriaan / Birthplace of Pope Adrian",,,,"The ANWB",52.08677,5.12180,"Oudegracht 265","Utrecht",,"Utrecht","Utrecht","It is at the intersection of Oudegracht and Brandstraat, on the left when traveling north on Oudegracht. ",,https://www.hmdb.org/m.asp?m=100352,12/10/2016,1/1/2024
100373,,"Voormalig Klooster en Later Weeshuis / Former Monastery and Later Orphanage",,,,,52.08726,5.12159,"Oudegracht 245","Utrecht",,"Utrecht","Utrecht","It is on Oudegracht just north of Brandstraat, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=100373,12/10/2016,1/1/2024
100399,,"Doopsgezinde Kerk / Mennonite Church",,,,"The ANWB",52.08713,5.12212,"Oudegracht 270","Utrecht",,"Utrecht","Utrecht","It is on Oudegracht just north of Korte Smeestraat, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=100399,12/11/2016,1/1/2024
100400,,"De Zakkendrager / The Porters",,,,"The ANWB, VVV",52.08754,5.12149,"Oudegracht 235","Utrecht",,"Utrecht","Utrecht","It is on Oudegracht just south of Haverstraat, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=100400,12/11/2016,1/1/2024
100414,,"St. Jacobsgasthuis / St. James' Guest House",,,,"The ANWB",52.08803,5.12131,"Oudegracht 213","Utrecht",,"Utrecht","Utrecht","It is on Oudegracht just south of Haverstraat, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=100414,12/12/2016,1/1/2024
100424,,"Utrechtse Sodomieprocessen / Utrecht Sodomy Trials",,,1999,,52.09081,5.12188,"Domplein 21","Utrecht",,"Utrecht","Utrecht","It is on Domplein just east of Servestraat. ",,https://www.hmdb.org/m.asp?m=100424,12/12/2016,1/1/2024
100449,,"Maartensbrug en Oude Gracht / ""St. Martin's Bridge"" on the Old Canal",,,,"The ANWB",52.09034,5.12027,,"Utrecht",,"Utrecht","Utrecht","It is at the intersection of Servestraat and Lichte Gaard on Servestraat. ",,https://www.hmdb.org/m.asp?m=100449,12/15/2016,1/1/2024
100462,,"Claustraal Huis van Oudemunster / Canon House of the Former Oudmunster Church",,,,"The ANWB",52.09000,5.12207,,"Utrecht",,"Utrecht","Utrecht","It is at the intersection of Korte Nieuwstraat and Domplein on Korte Nieuwstraat. ",,https://www.hmdb.org/m.asp?m=100462,12/15/2016,1/1/2024
100543,,"Paleis Lofen",,,,,52.09062,5.12095,"Domplein 20","Utrecht",,"Utrecht","Utrecht","It is at the intersection of Domplein and Servestraat, on the right when traveling west on Domplein. ",,https://www.hmdb.org/m.asp?m=100543,12/20/2016,1/1/2024
100605,,"Het Runensteen van Jelling Afgietsel / The Jelling Runestone Replica",,,1936,"Deensche Vrienden van Nederland",52.09050,5.12229,,"Utrecht",,"Utrecht","Utrecht","It can be reached from Domplein just north of Korte Nieuewstraat. ",,https://www.hmdb.org/m.asp?m=100605,12/22/2016,1/1/2024
100607,,"Verzetsmonument Utrecht / Utrecht Resistance Monument",,,1949,,52.09079,5.12189,"Domplein 21","Utrecht",,"Utrecht","Utrecht","It can be reached from Domplein just north of Korte Nieuwstraat. ",,https://www.hmdb.org/m.asp?m=100607,12/22/2016,10/29/2024
100609,,"Mariakerk / St. Mary's Church",,,,,52.08976,5.11684,,"Utrecht",,"Utrecht","Utrecht","It is at the intersection of Mariaplaats and Mariastraat, on the right when traveling east on Mariaplaats. ",,https://www.hmdb.org/m.asp?m=100609,12/22/2016,1/1/2024
100616,,"Universiteit Utrecht / Utrecht University",,,1996,"Unitas Studiosorum Rheno-Traiectina",52.09038,5.12224,"Domplein 29","Utrecht",,"Utrecht","Utrecht","It is at the intersection of Domplein and Korte Nieuwstraat on Domplein. ",,https://www.hmdb.org/m.asp?m=100616,12/23/2016,1/1/2024
